PROGTYPE	OBJTYPE	OBJDESC	SUBOBJ	SUBOBJDESC	OBJNAME	OBJTEXT	APPLN	FRICETYPE	PACKAGE	SYSNAME	MAINPROG	INCL	LINNO	ERRORMSG	MSGTYP	COMPLEXITY	REMEDIATE	PERFFLG	SCFILE	UNICODEERR	DEFTYPE	REFOBJTYP	CATEGORY
Program Type	Object Type	Object Description	Sub Object	Sub Obbject Description	Object Name	Object Text	Application	FRICE Type	Package	System Name	Main Program	Include Program	Line No	Error Message	Message Type	Complexity	Auto Remidiable	Performance Related	Score Code File	Unicode Error	Definition type	Reference Obj Type	Category	Check Defect
LIMU	FM	Function Module	FUNC	Function Module	Z_CLASS_OBJECT_GET	Get list of Class values from Class and Characteristic			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZ_CLASS_FUNCTIONS	LZ_CLASS_FUNCTIONSU04	   15	CABN-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_CLASS_VALUES_GET	Get list of Class values from Class and Characteristic			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZ_CLASS_FUNCTIONS	LZ_CLASS_FUNCTIONSU01	   16	CABN-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_AR_KUNNR_GET_FROM_ALTKN	Customer Account (KUNNR) from ALTKN			ZCCI	EHP6 FOR SAP ERP 6.0	SAPLZ_AR_BALANCE	LZ_AR_BALANCEU03	   16	KNA1-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_CLASS_VALUES_GET	Get list of Class values from Class and Characteristic			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZ_CLASS_FUNCTIONS	LZ_CLASS_FUNCTIONSU01	   17	AUSP-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_BAPI_INTERNALORDER_CREATE	Internal order create from passed data			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZ2075	LZ2075U01	   19	COAS-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_FI_REVALUATION_CHECK	FI: Service für RW-Schnittstelle - Prüfung			ZFI_REVALUATION	EHP6 FOR SAP ERP 6.0	SAPLZFI_REVAL	LZFI_REVALU02	   20	ACCIT-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_FI_REVALUATION_SUBSTITUTION	Aufruf DOCUMENT/CLOSE der RWIN-Schnittstelle			ZFI_REVALUATION	EHP6 FOR SAP ERP 6.0	SAPLZFI_REVAL	LZFI_REVALU01	   21	ACCIT-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_BAPI_INTERNALORDER_CREATE	Internal order create from passed data			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZ2075	LZ2075U01	   22	COBL-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	ZDMEE_EXIT_CGI_BANK_POSTAL	DMEE: To get the language dependent bank name			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZDMEE_POSTAL	LZDMEE_POSTALU01	   22	DMEE_PAYM_IF_TYPE-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	ZDMEE_EXIT_CGI_BANK_BLGNO	DMEE: To get the language dependent bank name			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZDMEE_BLG_NUM	LZDMEE_BLG_NUMU01	   22	DMEE_PAYM_IF_TYPE-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_CC_GET_DIRECTORY_LISTING	Get directory listing			ZCCI	EHP6 FOR SAP ERP 6.0	SAPLZ_AR_BALANCE	LZ_AR_BALANCEU07	   23	FILE-has been altered by SAP	E	3					O		3
LIMU	FM	Function Module	FUNC	Function Module	ZFI_FI_PAYMEDIUM_DMEE_CGI_05	DMEE: Reference fields for the format CGI_XML_CT			ZDMEE	EHP6 FOR SAP ERP 6.0	SAPLZDMEE	LZDMEEU01	   23	FPAYP-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
