COMPONENT	COMPONENTDESC	COMPTYPE	RELEASE	BFUNCTION	BFUNCDESC	BFUNCCATEG	CURRSTAT	FUTURESTAT	BFCONFLICT	MSGTYPE	ADDONSTAT	ADDONCONFLICT	SUCCPRODUCT	SUCCSW
IS-UT	SAP Utilities/Telecommunication	Industry Solutions	606	ISU_WASTE_RCI_2	Waste & Recycling, RCI	Industries Business Functions	OFF	OFF	Pass - No Impact	S				
IS-UT	SAP Utilities/Telecommunication	Industry Solutions	606	TEL_BI_INV_1	Telco,Enhanced Billing&Invoicing	Industries Business Functions	OFF	CUS_SWITCH	Pass - No Impact	S				
IS-UT	SAP Utilities/Telecommunication	Industry Solutions	606	TEL_CA_2	Telco, Enhanced Revenue Mgmt.	Industries Business Functions	OFF	CUS_SWITCH	Pass - No Impact	S				
IS-UT	SAP Utilities/Telecommunication	Industry Solutions	606	TEL_CA_3	Telco, Contract Acc A/R a. A/P 3	Industries Business Functions	OFF	CUS_SWITCH	Pass - No Impact	S				
IS-UT	SAP Utilities/Telecommunication	Industry Solutions	606	TEL_CA_4	Telco, Contract Acc A/R a. A/P 4	Industries Business Functions	OFF	CUS_SWITCH	Pass - No Impact	S				
IS-UT	SAP Utilities/Telecommunication	Industry Solutions	606	TEL_CONV_INV_1	Telco, Enhanced Invoicing	Industries Business Functions	OFF	CUS_SWITCH	Pass - No Impact	S				
IS-UT	SAP Utilities/Telecommunication	Industry Solutions	606	TEL_INV_1	Telco, Convergent Invoicing	Industries Business Functions	OFF	CUS_SWITCH	Pass - No Impact	S				
IS-UT	SAP Utilities/Telecommunication	Industry Solutions	606	TEL_INV_PP_1	Telco, Invoicing in CntAccRecPay	Industries Business Functions	OFF	CUS_SWITCH	Pass - No Impact	S				
IS-UT	SAP Utilities/Telecommunication	Industry Solutions	606	TEL_INV_PP_2	Telco, Billing in FI-CA 2	Industries Business Functions	OFF	CUS_SWITCH	Pass - No Impact	S				
IW_CNT	SAP IW CNT 200	Industry Solutions	200	/IWCNT/COMMON	Business Function for CBC Common	Enterprise BF / Enhancement Packages	OFF		Not part of BF list	I	Yes, released as an Add-on on S/4HANA	S		
IW_CNT	SAP IW CNT 200	Industry Solutions	200	/IWCNT/LEMA	Business Function for LEMA	Enterprise BF / Enhancement Packages	OFF		Not part of BF list	I	Yes, released as an Add-on on S/4HANA	S		
IW_CNT	SAP IW CNT 200	Industry Solutions	200	/IWCNT/REPORTING	Business Function for Reporting	Enterprise BF / Enhancement Packages	OFF		Not part of BF list	I	Yes, released as an Add-on on S/4HANA	S		
IW_CNT	SAP IW CNT 200	Industry Solutions	200	/IWCNT/TRVL	Bussiness Function for TRVL	Enterprise BF / Enhancement Packages	OFF		Not part of BF list	I	Yes, released as an Add-on on S/4HANA	S		
IW_CNT	SAP IW CNT 200	Industry Solutions	200	/IWCNT/WF	Business Function for CBC WF	Enterprise BF / Enhancement Packages	OFF		Not part of BF list	I	Yes, released as an Add-on on S/4HANA	S		
MDG_APPL	MDG Applications 606	Others	606	MDG_ERP_CUSTOMER_1	MDG for Customer	Enterprise BF / Enhancement Packages	ON	DEF_STATE						
MDG_APPL	MDG Applications 606	Others	606	MDG_ERP_SUPPLIER	MDG for Supplier	Enterprise BF / Enhancement Packages	ON	DEF_STATE						
MDG_APPL	MDG Applications 606	Others	606	MDG_ERP_SUPPLIER_2	MDG for Supplier on ERP Hub EhP6	Enterprise BF / Enhancement Packages	ON	DEF_STATE						
MDG_APPL	MDG Applications 606	Others	606	MDG_MATERIAL_2	MDG for Material 2	Enterprise BF / Enhancement Packages	OFF	DEF_STATE						
MDG_FND	MDG Foundation 731	Others	731	FIN_SSC_MDGINT	Integration of MDG and SSF	Enterprise BF / Enhancement Packages	OFF	DEF_STATE						
MDG_FND	MDG Foundation 731	Others	731	MDG_FINANCIALS_3	MDG for Financials 3	Enterprise BF / Enhancement Packages	OFF	DEF_STATE						
MDG_FND	MDG Foundation 731	Others	731	MDG_FOUNDATION_2	MDG, Generic Functions 2	Enterprise BF / Enhancement Packages	ON	DEF_STATE						
SAP_ABA	Cross-Application Component	Others	731	CA_ECH_1	Error and Conflict Handler	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W		S		
SAP_ABA	Cross-Application Component	Others	731	CA_FSBP_MIGRATION_ID	FS-BP Migration Partner Numbers	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S		S		
SAP_ABA	Cross-Application Component	Others	731	CA_FSBP_TAXC	FS-BP Tax Compliance	Industries Business Functions	OFF		Not part of BF list	I		S		
SAP_ABA	Cross-Application Component	Others	731	CA_FSBP_TAX_C	FS-BP Tax Compliance	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S		S		
SAP_ABA	Cross-Application Component	Others	731	CA_HAP_CI_1	Evaluations/Appraisals/Surveys	Enterprise BF / Enhancement Packages	OFF	DEF_STATE				S		
SAP_ABA	Cross-Application Component	Others	731	CA_PA_CE_GE_QUALI	CA, EE Qualifications for CE/GE	Enterprise BF / Enhancement Packages	OFF	DEF_STATE				S		
SAP_ABA	Cross-Application Component	Others	731	ILM_RWC_PRODUCT_LIABILITY	ILM Pred. RW Content ProdLiab	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S		S		
SAP_ABA	Cross-Application Component	Others	731	ILM_RWC_TAX	ILM Predefined RW Content TAX	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S		S		
SAP_ABA	Cross-Application Component	Others	731	ILM_RWC_TAX_IS_OIL	ILM Predef. RW Content TAX OIL	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S		S		
SAP_ABA	Cross-Application Component	Others	731	ILM_RWC_TAX_IS_U	ILM Predef. RW Content TAX IS-U	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S		S		
SAP_ABA	Cross-Application Component	Others	731	PCA_KEYV	Payment Cards: Key Version	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S		S		
SAP_APPL	Logistics and Accounting	Others	606	/KYK/GEN_AIO_SIMPLIFICATION	SAP All-In-One Roles	Enterprise BF / Enhancement Packages	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Others	606	/SPE/TPOP_CANCEL	SPM: Cancellation of TPOP Order	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	APO_VMI_CONS	VMI Consignment	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	AUTO_LOC_IN_1	IS-Auto Localization for IN, JP	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	AUTO_LOC_JP_1	IS-Auto Localization for JP	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	CA_CATS_CE	CATS classic for CE	Enterprise BF / Enhancement Packages	OFF	DEF_STATE						
SAP_APPL	Logistics and Accounting	Others	606	CA_CATS_CPR_CORE	CATS classic: cProjects Details	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	CA_CIF_INILOAD_01	Enhanced Initial DataTransfer	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	CO_ALLOCATIONS	CO, Allocations	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Others	606	ERP_ATP_EXT_CUST	Enterprise Services for the ATP	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	ERP_CF_INTEGRATION_1	ERP, Integration with CLA & FM	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Others	606	ERP_IPM_BACKEND_1	IPM, Ind-Independent Back End	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	ERP_IPM_BACKEND_2	IPM, Dwnld CRM Matl-Reld IP Info	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	ERP_UID_01	Item Unique Identification	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Others	606	ERP_UID_02	Item Unique Identification	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Others	606	ERP_UID_03	Item Unique Identification	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Others	606	ERP_WEB_CHANNEL_1	SAP Web Channel Exp.  Mgmt	Enterprise BF / Enhancement Packages	OFF	DEF_STATE						
SAP_APPL	Logistics and Accounting	Others	606	ERP_WEB_CHANNEL_2	SAP Web Channel Exp. Mgmt 2.0	Enterprise BF / Enhancement Packages	OFF	DEF_STATE						
SAP_APPL	Logistics and Accounting	Others	606	ERP_WEB_CHANNEL_3	SAP Web Channel Exp. Mgmt. 3.0	Enterprise BF / Enhancement Packages	OFF	DEF_STATE						
SAP_APPL	Logistics and Accounting	Others	606	FIN_AA_CI_1	FI-AA, Asset Accounting	Enterprise BF / Enhancement Packages	ON	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	FIN_ACC_ILM	ILM Tax Auditing	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	FIN_ACC_PEO	Partially Exempt Organizations	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	FIN_APAR_PAYMT_ADV	FI, ES Sending of PaymentAdvices	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	FIN_CO_CCPLAN	CO, Cost Center Planning	Enterprise BF / Enhancement Packages	ON	ON	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	FIN_CO_COGM	Parallel COGM	Enterprise BF / Enhancement Packages	ON	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	FIN_CRM_MKT_INTGR	ERP FIN Integration for CRM Mark	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	FIN_EWHT_EXCL	FI, Exclusions in Extended WTax	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	FIN_FSCM_BD_3	SAP Biller Direct Buy Side 2	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	FIN_FSCM_BNK	Bank Communication Management	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	FIN_FSCM_CCD_INTEGRATION	FSCM Integration 2	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Others	606	FIN_FSCM_CCD_INTEGRATION_3	FSCM Integration 3	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Others	606	FIN_GL_ADB	Average Daily Balance	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	FIN_GL_CI_1	New General Ledger Accounting	Enterprise BF / Enhancement Packages	ON	ON	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	FIN_GL_CI_3	New General Ledger Accounting 3	Enterprise BF / Enhancement Packages	ON	ON	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	FIN_GL_DISTR_SCEN_1	Totals Trsfr in Distrib. Systems	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	FIN_GL_ERR_CORR	Error Correction System	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Others	606	FIN_GL_ERR_CORR_SUSP	Error Corr. and Susp. Accounting	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Others	606	FIN_GL_MCA	Multi Currency Accounting	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	FIN_GL_REORG_1	Profit Center Reorganization	Enterprise BF / Enhancement Packages	ON	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	FIN_GL_REORG_SEG	Segment Reorganization	Enterprise BF / Enhancement Packages	ON	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	FIN_LOC_CI_11	FI, Localization for CN, SA, AE	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Others	606	FIN_LOC_CI_13	FI, Localization for China	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Others	606	FIN_LOC_CI_14	FI, LO, Topics for Russia 2	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Others	606	FIN_LOC_CI_15	FI-AA Localization Topics for RU	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Others	606	FIN_LOC_CI_16	FI, E-Payments for China	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	FIN_LOC_CI_19	FI, LO Topics  RU 3	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Others	606	FIN_LOC_CI_23	FI, LO Topics  RU 4	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Others	606	FIN_LOC_CI_25	Electronic Monetary Claims	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Others	606	FIN_LOC_CI_33	FI, LO Topics  RU 5	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Others	606	FIN_LOC_CI_35	FI, LO Topics  RU 6	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Others	606	FIN_LOC_CI_4	FI Topics Japan and South Korea	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Others	606	FIN_LOC_CI_7	FI, LO Topics for CL, IN, PT, RU	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	FIN_LOC_EPIC_2	FI, E-Payments for China 2	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	FIN_LOC_EPIC_3	FI, E-Payments for China 3	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	FIN_LOC_EPIC_4	FI, E-Payments for China 4	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	FIN_LOC_EPIC_4_2	FI, E-Payments for China 4_2	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	FIN_MDM_SOA_ORG	MDGF, SOA Organizational Units	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	FIN_REP_SIMPL_2	Reporting Financials 2	Enterprise BF / Enhancement Packages	ON	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	FIN_REP_SIMPL_3	Reporting Financials 3	Enterprise BF / Enhancement Packages	ON	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	FIN_REP_SIMPL_4	Reporting Financials 4	Enterprise BF / Enhancement Packages	ON	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	FIN_SSC_AIC_1	FI, Enablement for FSS	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	FIN_TRM_CM_DIMENSIONS	CLM-CM, Additional Acct Assgmts	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	HCM_CRM_CATS_PROFILE	CRM, Time Rec. - CATS Profiles	Enterprise BF / Enhancement Packages	OFF	DEF_STATE						
SAP_APPL	Logistics and Accounting	Others	606	ILM_CDE_CONT_SAP_APPL	ILM: CDE Content (SAP_APPL)	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	ISR_APPL_AGENCY_4	Trade, Agency Business 4	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Others	606	ISR_APPL_AGENCY_5	Trade, Agency Business 5	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Others	606	ISR_APPL_CRM_INTEG	Retail, MD Integration in CRM 01	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Others	606	ISR_APPL_OUTBOUND_DMF	Retail, Export of Data to PMR	Enterprise BF / Enhancement Packages	OFF							
SAP_APPL	Logistics and Accounting	Others	606	ISR_APPL_PCI_DSS	Retail, PCI DSS	Enterprise BF / Enhancement Packages	OFF							
SAP_APPL	Logistics and Accounting	Others	606	ISR_APPL_POS_INTEG	Retail, POS Integration via IDoc	Enterprise BF / Enhancement Packages	OFF							
SAP_APPL	Logistics and Accounting	Others	606	ISR_APPL_SCM_2	Retail, Connectivity to F&R 5.2	Enterprise BF / Enhancement Packages	OFF							
SAP_APPL	Logistics and Accounting	Others	606	ISR_APPL_USABILITY	Retail, Usability	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Others	606	ISR_RETAILSYSTEM	Retail Enhancements	Industries Business Functions	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	ISR_RET_AGENCY_2	Trade, Agency Business 2	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Others	606	ISR_RET_AGENCY_3	Trade, Agency Business 3	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Others	606	ISR_RET_CD/FT_EWM	Retail, CD/FT_EWM Integration	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	ISR_RET_CROSS_DOCK_IF	Retail, Cross-Docking Interface	Enterprise BF / Enhancement Packages	OFF							
SAP_APPL	Logistics and Accounting	Others	606	ISR_RET_PERISH_PROCUREMENT	Retail, Perishables Procurement	Enterprise BF / Enhancement Packages	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	LOG_CPE_FA_FE	CPE: BAdI-Based Formula Handling	Enterprise BF / Enhancement Packages	ON	OFF	Conflict with 1610	E				
SAP_APPL	Logistics and Accounting	Others	606	LOG_CPE_SD_MM	Logistics, CPE in SD and MM	Enterprise BF / Enhancement Packages	ON	OFF	Conflict with 1610	E				
SAP_APPL	Logistics and Accounting	Others	606	LOG_EAM_MAM	EAM : Mobile Asset Management	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	LOG_EAM_MPOINT_MASS_DEACT	EAM Deactiv.of Measuring Points	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	LOG_EAM_OLC	Operation Account Assignment	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	LOG_EAM_OLC_2	Operation Account Assignment 2	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	LOG_EAM_SHIFTFACTORS	EAM, Shift Factors MCP	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	LOG_ESOA_OPS_2	Operations, Enterprise Services	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	LOG_ESOA_OPS_3	Operations, Enterprise Services	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	LOG_MMFI_P2P	MM, Integration MM and FI	Enterprise BF / Enhancement Packages	ON	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	LOG_MM_ANALYTICS_01	MM, Analytics 01	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	LOG_MM_CI_3	Enhancements in Procurement	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	LOG_MM_CI_4	ERP, MM, Procurement	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	LOG_MM_COMMODITY	Procure-to-Pay for Commodities	Enterprise BF / Enhancement Packages	ON	OFF	Conflict with 1610	E				
SAP_APPL	Logistics and Accounting	Others	606	LOG_MM_EXT_REL	External rel. for purchase req.	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	LOG_MM_MAA_1	MM Multiple Account Assignment	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	LOG_MM_OM_1	ERP OPS Outsourced Manufacturing	Enterprise BF / Enhancement Packages	ON	ON	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	LOG_MM_OM_2	Outsourced Mfg 2 in ERP OPS	Enterprise BF / Enhancement Packages	ON	ON	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	LOG_MM_P2PSE_1	Procurement - SRM Integration	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	LOG_MM_P2PSE_2	Procurement - SRM Integration 2	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	LOG_MM_P2PSE_3	ERP, MM, Procurement and SRM Int	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	LOG_MM_SERNO	Serial Numbers in Purchasing	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Others	606	LOG_MM_SIT	MM, Stock in Transit & Act.Cstng	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Others	606	LOG_MM_SSP_1	MM, Self-Service Procurement	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	LOG_MM_SUSTAIN_1	Sustainable Sourcing and Proc.	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	LOG_PP_BATCH_HISTORY	Batch History	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	LOG_PP_CFB	PP, Food and Beverage	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	LOG_PP_EWM_MAN	EWM Integration in Manufacturing	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Others	606	LOG_PP_LMAN_02	Kanban Enh. for Lean Manufact.	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Others	606	LOG_PP_LPO	SAP LPO Integration	Enterprise BF / Enhancement Packages	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Others	606	LOG_PP_MES_INT_01	Integr. Production Orders MES	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Others	606	LOG_PP_MES_INT_02	Integration Production/MES	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Others	606	LOG_PP_MES_INT_03	Integration Production/MES 2	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Others	606	LOG_PP_MIS	Manufacturing Information System	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Others	606	LOG_PP_PROD_ORD_SPLIT	Order Split	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Others	606	LOG_PP_WIP_BATCH	WIP Batch	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Others	606	LOG_PP_WIP_BATCH_02	WIP Batch Enhancements	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Others	606	LOG_SCM_CUSTVEND_INT	SCM, Customer Vendor Integration	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Others	606	LOG_SCM_MEAN_INT	SCM, Additional GTINs (EAN/UPC)	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	LOG_SD_ADVORD	Adv. Order Process. and Billing	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	LOG_SD_ANALYTICS_01	SD, Analytics 01	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	LOG_SD_CI_01	Sales & Distribution	Enterprise BF / Enhancement Packages	ON	ON	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	LOG_SD_CI_02	Sales & Distribution 2	Enterprise BF / Enhancement Packages	ON	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	LOG_SD_COMMODITY	Contract-to-Cash for Commodities	Enterprise BF / Enhancement Packages	ON	OFF	Conflict with 1610	E				
SAP_APPL	Logistics and Accounting	Others	606	LOG_SD_SIMP_02	S&D Simplification 2	Enterprise BF / Enhancement Packages	ON	CUS_SWITCH	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Others	606	LOG_TM_IV_INT	TMS-ERP: Invoice Integration	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
